period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
Jan–Dec 2025,2025,Baton twirling,0.012,0.015,0.008,0.0,0.021,0.024,0.0,0.035,0.0,0.0
Jan–Dec 2025,2025,Biathlon,0.006,0.012,0.0,0.0,0.027,0.0,0.017,0.0,0.0,0.0
Jan–Dec 2025,2025,Billiards/Snooker/Pool,0.304,0.425,0.189,0.425,0.392,0.486,0.274,0.253,0.259,0.166
Jan–Dec 2025,2025,BMX,0.028,0.032,0.025,0.0,0.042,0.025,0.061,0.057,0.0,0.0
Jan–Dec 2025,2025,Bobsledding,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.013,0.0,0.0
Jan–Dec 2025,2025,Bocce/Boules,0.014,0.013,0.015,0.0,0.0,0.0,0.036,0.0,0.045,0.008
Jan–Dec 2025,2025,Boccia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Body building,0.041,0.076,0.008,0.0,0.1,0.132,0.018,0.0,0.0,0.016
Jan–Dec 2025,2025,Boomerang throwing,0.015,0.031,0.0,0.21,0.0,0.014,0.018,0.0,0.0,0.0
Jan–Dec 2025,2025,Bowls,0.834,1.11,0.575,0.147,0.093,0.288,0.238,0.425,1.007,2.494
Jan–Dec 2025,2025,Boxing,0.848,0.972,0.728,0.982,1.753,1.571,0.961,0.745,0.319,0.054
Jan–Dec 2025,2025,Broomball,0.002,0.0,0.005,0.0,0.0,0.0,0.014,0.0,0.0,0.0
Jan–Dec 2025,2025,Bush walking,17.468,16.302,18.6,14.605,17.332,20.301,21.448,19.691,19.549,9.568
Jan–Dec 2025,2025,Calisthenics,0.359,0.557,0.171,1.226,0.688,0.519,0.332,0.251,0.178,0.085
Jan–Dec 2025,2025,Campdrafting,0.013,0.005,0.021,0.0,0.028,0.046,0.0,0.0,0.0,0.008
Jan–Dec 2025,2025,Canoeing/Kayaking,0.997,1.034,0.959,0.664,0.638,0.972,1.127,1.254,1.476,0.676
Jan–Dec 2025,2025,Circus,0.034,0.01,0.057,0.206,0.049,0.082,0.026,0.0,0.0,0.0
Jan–Dec 2025,2025,Cricket,2.492,4.249,0.796,8.431,4.83,3.543,2.674,1.969,0.991,0.309
Jan–Dec 2025,2025,Croquet,0.088,0.072,0.105,0.0,0.015,0.015,0.014,0.0,0.044,0.359
Jan–Dec 2025,2025,Crossfit/Functional fitness,0.648,0.547,0.747,0.159,0.493,1.295,1.08,0.634,0.397,0.099
Jan–Dec 2025,2025,Curling,0.01,0.011,0.009,0.0,0.0,0.0,0.057,0.0,0.0,0.0
Jan–Dec 2025,2025,Cycling,8.294,10.432,6.252,6.657,5.59,7.121,9.259,11.588,11.952,5.576
Jan–Dec 2025,2025,DanceSport,1.123,0.276,1.916,3.709,2.579,1.262,1.05,0.701,0.656,0.356
Jan–Dec 2025,2025,Dancing (recreational),1.629,0.491,2.717,2.626,2.418,1.894,1.703,1.229,1.136,1.321
Jan–Dec 2025,2025,Darts,0.162,0.216,0.112,0.0,0.266,0.137,0.164,0.167,0.211,0.128
Jan–Dec 2025,2025,Diving,0.05,0.065,0.036,0.0,0.189,0.034,0.043,0.033,0.051,0.017
Jan–Dec 2025,2025,Dodgeball,0.077,0.072,0.082,0.492,0.143,0.161,0.06,0.0,0.0,0.0
Jan–Dec 2025,2025,Dragon boat racing,0.07,0.058,0.082,0.0,0.033,0.036,0.069,0.083,0.149,0.073
Jan–Dec 2025,2025,Eight ball,0.027,0.03,0.024,0.0,0.085,0.043,0.0,0.011,0.021,0.027
Jan–Dec 2025,2025,Equestrian,0.442,0.141,0.738,0.546,0.682,0.573,0.445,0.411,0.592,0.103
Jan–Dec 2025,2025,eSports,0.211,0.324,0.089,0.133,0.735,0.396,0.171,0.109,0.044,0.008
Jan–Dec 2025,2025,Fencing,0.045,0.051,0.04,0.145,0.158,0.06,0.0,0.051,0.0,0.016
Jan–Dec 2025,2025,Fishing (recreational),1.07,1.694,0.466,1.074,0.664,0.927,0.964,1.439,1.553,0.918
Jan–Dec 2025,2025,Fitness/Gym,34.102,33.102,35.078,37.322,43.441,42.064,36.393,32.926,29.525,23.683
Jan–Dec 2025,2025,Floorball,0.028,0.028,0.029,0.165,0.053,0.045,0.041,0.0,0.0,0.0
Jan–Dec 2025,2025,Flying disc,0.249,0.292,0.205,0.678,0.698,0.357,0.199,0.173,0.099,0.023
Jan–Dec 2025,2025,Football/soccer,5.624,8.871,2.499,17.015,12.326,9.355,6.942,3.278,0.955,0.136
Jan–Dec 2025,2025,Gaelic football,0.063,0.1,0.028,0.0,0.106,0.212,0.03,0.053,0.0,0.0
Jan–Dec 2025,2025,Geocaching,0.032,0.035,0.025,0.0,0.023,0.015,0.069,0.031,0.051,0.017
Jan–Dec 2025,2025,Goalball,0.01,0.021,0.0,0.167,0.0,0.0,0.016,0.0,0.0,0.0
Jan–Dec 2025,2025,Golf,4.563,7.555,1.685,2.375,2.76,3.539,3.403,4.833,6.889,6.087
Jan–Dec 2025,2025,Gridiron,0.045,0.073,0.019,0.264,0.142,0.045,0.03,0.021,0.015,0.0
Jan–Dec 2025,2025,Guides,0.004,0.0,0.008,0.0,0.0,0.009,0.015,0.0,0.0,0.0
Jan–Dec 2025,2025,Gymnastics,0.54,0.332,0.742,2.5,1.056,0.726,0.693,0.152,0.16,0.09
Jan–Dec 2025,2025,Handball,0.114,0.114,0.116,1.117,0.214,0.164,0.03,0.034,0.012,0.0
Jan–Dec 2025,2025,Harness racing,0.011,0.022,0.0,0.0,0.023,0.0,0.014,0.033,0.0,0.004
Jan–Dec 2025,2025,Hockey,0.512,0.507,0.522,1.629,0.985,0.584,0.632,0.45,0.267,0.072
Jan–Dec 2025,2025,Horse racing,0.024,0.038,0.012,0.0,0.035,0.053,0.013,0.049,0.0,0.007
Jan–Dec 2025,2025,Ice hockey,0.061,0.078,0.044,0.344,0.115,0.041,0.095,0.047,0.015,0.0
Jan–Dec 2025,2025,Ice racing/speed skating,0.007,0.01,0.004,0.0,0.023,0.0,0.0,0.03,0.0,0.0
Jan–Dec 2025,2025,Ice skating,0.214,0.103,0.314,1.661,0.389,0.233,0.17,0.112,0.069,0.0
Jan–Dec 2025,2025,Jet skiing,0.067,0.111,0.025,0.0,0.073,0.061,0.105,0.072,0.119,0.016
Jan–Dec 2025,2025,Judo,0.066,0.052,0.081,0.494,0.118,0.084,0.031,0.046,0.018,0.008
Jan–Dec 2025,2025,Jujitsu,0.17,0.284,0.062,0.377,0.247,0.294,0.334,0.088,0.015,0.007
Jan–Dec 2025,2025,Karate,0.186,0.237,0.139,0.418,0.431,0.097,0.282,0.126,0.166,0.064
Jan–Dec 2025,2025,Kendo,0.03,0.047,0.014,0.125,0.054,0.038,0.027,0.033,0.014,0.0
Jan–Dec 2025,2025,Kitesurfing/kiteboarding,0.013,0.021,0.006,0.0,0.0,0.0,0.025,0.035,0.027,0.0
Jan–Dec 2025,2025,Korfball,0.005,0.005,0.005,0.0,0.0,0.029,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Kung fu wushu,0.009,0.009,0.01,0.0,0.02,0.0,0.0,0.035,0.015,0.0
Jan–Dec 2025,2025,Lacrosse,0.03,0.025,0.036,0.206,0.074,0.023,0.015,0.028,0.016,0.0
Jan–Dec 2025,2025,Lifesaving royal,0.005,0.011,0.0,0.0,0.023,0.015,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Lifesaving surf,0.13,0.198,0.065,0.494,0.105,0.096,0.153,0.14,0.168,0.044
Jan–Dec 2025,2025,Luging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Marching,0.012,0.015,0.009,0.0,0.021,0.015,0.0,0.019,0.029,0.0
Jan–Dec 2025,2025,Martial arts,0.626,0.552,0.703,0.649,0.736,0.514,0.278,0.532,0.477,1.105
Jan–Dec 2025,2025,Mixed martial arts,0.093,0.13,0.058,0.125,0.342,0.075,0.069,0.165,0.0,0.0
Jan–Dec 2025,2025,Modern pentathlon,0.003,0.006,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Motor cycling,0.947,1.376,0.521,1.502,0.979,1.41,0.91,0.792,1.113,0.446
Jan–Dec 2025,2025,Motor sport,0.254,0.404,0.094,0.739,0.398,0.422,0.212,0.18,0.217,0.042
Jan–Dec 2025,2025,Mountain biking,0.726,1.182,0.285,1.716,0.485,0.612,0.966,1.211,0.714,0.209
Jan–Dec 2025,2025,Mountain climbing,0.099,0.131,0.069,0.082,0.122,0.129,0.152,0.122,0.087,0.014
Jan–Dec 2025,2025,Muay Thai,0.166,0.195,0.139,0.327,0.635,0.271,0.126,0.049,0.031,0.0
Jan–Dec 2025,2025,Netball,2.107,0.685,3.495,8.141,5.525,3.062,2.13,1.156,0.307,0.052
Jan–Dec 2025,2025,Obstacle,0.056,0.04,0.073,0.435,0.02,0.06,0.076,0.074,0.0,0.0
Jan–Dec 2025,2025,Orienteering,0.07,0.068,0.073,0.351,0.06,0.012,0.104,0.094,0.047,0.036
Jan–Dec 2025,2025,Outrigger canoe,0.027,0.033,0.021,0.0,0.0,0.013,0.045,0.05,0.036,0.022
Jan–Dec 2025,2025,Oztag,0.223,0.248,0.202,0.964,0.763,0.382,0.127,0.033,0.0,0.008
Jan–Dec 2025,2025,Paddle sports,0.209,0.205,0.214,0.0,0.109,0.211,0.209,0.247,0.347,0.185
Jan–Dec 2025,2025,Paintball,0.012,0.015,0.009,0.0,0.026,0.012,0.015,0.015,0.017,0.0
Jan–Dec 2025,2025,Parkour,0.022,0.01,0.035,0.351,0.024,0.011,0.013,0.0,0.0,0.0
Jan–Dec 2025,2025,Petanque,0.003,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.016
Jan–Dec 2025,2025,Physical Culture,0.061,0.023,0.098,0.0,0.0,0.036,0.053,0.031,0.055,0.158
Jan–Dec 2025,2025,Pickleball/padel,1.314,1.324,1.311,0.904,1.422,1.547,1.367,1.528,1.673,0.717
Jan–Dec 2025,2025,Pilates,7.181,1.207,12.993,3.749,8.757,11.019,8.713,7.13,6.259,3.191
Jan–Dec 2025,2025,Polo,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
Jan–Dec 2025,2025,Polocrosse,0.004,0.005,0.004,0.0,0.0,0.0,0.026,0.0,0.0,0.0
Jan–Dec 2025,2025,Pony Club,0.046,0.028,0.059,0.197,0.106,0.052,0.057,0.011,0.018,0.009
Jan–Dec 2025,2025,Powerlifting,0.042,0.05,0.035,0.0,0.094,0.075,0.056,0.017,0.046,0.0
Jan–Dec 2025,2025,Ready Steady Go Kids,0.008,0.006,0.009,0.0,0.021,0.017,0.013,0.0,0.0,0.0
Jan–Dec 2025,2025,Rock climbing/Abseiling/Caving,0.457,0.534,0.36,1.791,0.978,0.604,0.545,0.249,0.159,0.046
Jan–Dec 2025,2025,Rodeo,0.003,0.0,0.005,0.0,0.024,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Rogaining,0.022,0.029,0.015,0.0,0.04,0.018,0.0,0.045,0.03,0.015
Jan–Dec 2025,2025,Roller Derby,0.013,0.013,0.014,0.0,0.0,0.0,0.044,0.017,0.011,0.009
Jan–Dec 2025,2025,Rope skipping,0.248,0.184,0.307,0.442,0.38,0.426,0.297,0.188,0.193,0.021
Jan–Dec 2025,2025,Rowing,0.585,0.687,0.488,0.952,0.413,0.517,0.512,0.709,0.847,0.457
Jan–Dec 2025,2025,Rugby league,0.763,1.209,0.338,3.236,1.689,1.392,0.681,0.369,0.071,0.013
Jan–Dec 2025,2025,Rugby union,0.374,0.603,0.155,1.386,0.913,0.617,0.291,0.18,0.126,0.037
Jan–Dec 2025,2025,Running/jogging,16.525,18.975,14.157,26.574,26.653,27.663,20.854,15.772,8.462,1.838
Jan–Dec 2025,2025,Sailing,0.327,0.459,0.202,0.299,0.135,0.166,0.219,0.362,0.687,0.4
Jan–Dec 2025,2025,Scootering,0.085,0.093,0.078,0.0,0.049,0.071,0.275,0.105,0.011,0.015
Jan–Dec 2025,2025,Scouts,0.022,0.034,0.01,0.251,0.072,0.0,0.015,0.0,0.0,0.0
Jan–Dec 2025,2025,Sepak takraw,0.003,0.005,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Shooting/field,0.203,0.377,0.037,0.316,0.114,0.327,0.219,0.227,0.153,0.123
Jan–Dec 2025,2025,Shooting/range,0.136,0.228,0.047,0.0,0.082,0.193,0.211,0.141,0.091,0.107
Jan–Dec 2025,2025,Skate,0.396,0.386,0.375,1.194,0.663,0.6,0.475,0.429,0.115,0.007
Jan–Dec 2025,2025,Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2025,2025,Ski & snowboard,0.812,0.964,0.671,0.269,0.675,0.893,0.817,1.007,1.4,0.404
Jan–Dec 2025,2025,Skirmish,0.003,0.0,0.005,0.0,0.0,0.0,0.015,0.0,0.0,0.0
Jan–Dec 2025,2025,Softball,0.136,0.116,0.153,0.307,0.238,0.18,0.16,0.106,0.153,0.0
Jan–Dec 2025,2025,Sport climbing,0.542,0.664,0.411,1.379,1.335,1.255,0.492,0.044,0.119,0.009
Jan–Dec 2025,2025,Squash,0.39,0.569,0.216,0.359,0.344,0.579,0.461,0.435,0.413,0.155
Jan–Dec 2025,2025,Surfing,1.385,1.731,1.059,2.218,1.269,1.566,1.818,1.768,1.353,0.511
Jan–Dec 2025,2025,Swimming,15.39,14.513,16.263,17.616,16.339,16.584,18.312,16.664,15.991,9.735
Jan–Dec 2025,2025,Sword fighting,0.023,0.016,0.025,0.0,0.099,0.056,0.0,0.0,0.0,0.008
Jan–Dec 2025,2025,Synchronised swimming,0.052,0.061,0.044,0.0,0.071,0.104,0.076,0.074,0.014,0.0
Jan–Dec 2025,2025,Table tennis,1.79,2.534,1.08,6.543,3.295,2.298,1.613,1.44,0.94,0.508
Jan–Dec 2025,2025,Taekwondo/Taekwon-do,0.115,0.147,0.085,0.882,0.213,0.094,0.056,0.101,0.053,0.016
Jan–Dec 2025,2025,Tee ball,0.012,0.021,0.004,0.0,0.056,0.023,0.012,0.0,0.0,0.0
Jan–Dec 2025,2025,Tennis,4.941,5.842,4.103,9.45,7.484,6.476,5.281,5.269,3.289,1.915
Jan–Dec 2025,2025,Tenpin bowling,0.629,0.655,0.61,1.064,0.815,0.516,0.685,0.644,0.699,0.434
Jan–Dec 2025,2025,Tobogganing,0.002,0.0,0.005,0.0,0.0,0.0,0.0,0.016,0.0,0.0
Jan–Dec 2025,2025,Touch football,0.712,0.918,0.518,2.335,1.549,1.213,0.562,0.505,0.26,0.064
Jan–Dec 2025,2025,Triathlon,0.143,0.184,0.105,0.288,0.169,0.19,0.22,0.228,0.034,0.008
Jan–Dec 2025,2025,Underwater sports,0.836,0.836,0.844,0.722,0.679,1.049,1.09,0.817,1.137,0.369
Jan–Dec 2025,2025,Virtual based physical activity,0.95,0.966,0.921,3.748,1.745,1.427,0.827,0.697,0.272,0.252
Jan–Dec 2025,2025,Volleyball (indoor and outdoor),1.307,1.55,1.057,10.113,3.406,1.582,0.677,0.35,0.136,0.06
Jan–Dec 2025,2025,Walking (Recreational),50.204,42.494,57.753,30.348,34.194,41.86,47.548,58.668,66.032,55.822
Jan–Dec 2025,2025,Water polo,0.092,0.122,0.064,0.462,0.226,0.115,0.031,0.1,0.036,0.007
Jan–Dec 2025,2025,Waterskiing/Wakeboarding,0.15,0.171,0.132,0.0,0.243,0.19,0.135,0.187,0.232,0.032
Jan–Dec 2025,2025,Weight lifting,0.982,1.073,0.876,0.77,1.566,1.6,1.094,0.857,0.691,0.382
Jan–Dec 2025,2025,Wheelchair rugby,0.002,0.0,0.005,0.0,0.0,0.0,0.013,0.0,0.0,0.0
Jan–Dec 2025,2025,Wood chopping,0.033,0.056,0.011,0.0,0.02,0.0,0.027,0.053,0.065,0.045
Jan–Dec 2025,2025,Wrestling,0.04,0.06,0.018,0.0,0.091,0.094,0.04,0.044,0.0,0.0
Jan–Dec 2025,2025,Yoga,5.072,1.59,8.466,2.598,3.606,6.426,6.284,6.106,5.569,3.165
